Stock,Symbol,Lots,Market Cap
ACC LIMITED                         ,ACC       ,300,
AARTI INDUSTRIES LTD                ,AARTIIND  ,1325,
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,125,
ADITYA BIRLA CAPITAL LTD.           ,ABCAPITAL ,3100,
ABB INDIA LIMITED                   ,ABB       ,125,
ASHOK LEYLAND LTD                   ,ASHOKLEY  ,2500,
ASIAN PAINTS LIMITED                ,ASIANPAINT,250,
ADANI TOTAL GAS LIMITED             ,ATGL      ,875,
AXIS BANK LIMITED                   ,AXISBANK  ,625,
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,75,
BHEL                                ,BHEL      ,2625,
BIOCON LIMITED.                     ,BIOCON    ,2500,
BRITANNIA INDUSTRIES LTD            ,BRITANNIA ,125,
BSE LIMITED                         ,BSE       ,375,
BIRLASOFT LIMITED                   ,BSOFT     ,1300,
ADANI GREEN ENERGY LTD              ,ADANIGREEN,600,
BANK OF INDIA                       ,BANKINDIA ,5200,
BLUE STAR LIMITED                   ,BLUESTARCO,325,
DABUR INDIA LTD                     ,DABUR     ,1250,
DELHIVERY LIMITED                   ,DELHIVERY ,2075,
ANGEL ONE LIMITED                   ,ANGELONE  ,250,
DR. REDDY S LABORATORIES            ,DRREDDY   ,625,
FEDERAL BANK LTD                    ,FEDERALBNK,5000,
GODREJ CONSUMER PRODUCTS            ,GODREJCP  ,500,
GRANULES INDIA LIMITED              ,GRANULES  ,1075,
HDFC LIFE INS CO LTD                ,HDFCLIFE  ,1100,
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  ,1400,
ASTRAL LIMITED                      ,ASTRAL    ,425,
CANARA BANK                         ,CANBK     ,6750,
ADANI ENERGY SOLUTION LTD           ,ADANIENSOL,675,
ADITYA BIRLA FASHION & RT           ,ABFRL     ,2600,
ADANI PORT & SEZ LTD                ,ADANIPORTS,475,
AU SMALL FINANCE BANK LTD           ,AUBANK    ,1000,
ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,925,
AMBUJA CEMENTS LTD                  ,AMBUJACEM ,1050,
INDRAPRASTHA GAS LTD                ,IGL       ,2750,
THE INDIAN HOTELS CO. LTD           ,INDHOTEL  ,1000,
CHAMBAL FERTILIZERS LTD             ,CHAMBLFERT,950,
ALKEM LABORATORIES LTD.             ,ALKEM     ,125,
INFOSYS LIMITED                     ,INFY      ,400,
COLGATE PALMOLIVE LTD.              ,COLPAL    ,225,
JSW ENERGY LIMITED                  ,JSWENERGY ,1000,
CUMMINS INDIA LTD                   ,CUMMINSIND,200,
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK ,400,
KPIT TECHNOLOGIES LIMITED           ,KPITTECH  ,400,
APL APOLLO TUBES LTD                ,APLAPOLLO ,350,
LARSEN & TOUBRO LTD.                ,LT        ,175,
LTIMINDTREE LIMITED                 ,LTIM      ,150,
DIXON TECHNO (INDIA) LTD            ,DIXON     ,50,
DLF LIMITED                         ,DLF       ,825,
BANK OF BARODA                      ,BANKBARODA,2925,
FORTIS HEALTHCARE LTD               ,FORTIS    ,775,
NHPC LTD                            ,NHPC      ,6400,
FSN E COMMERCE VENTURES             ,NYKAA     ,3125,
OIL AND NATURAL GAS CORP.           ,ONGC      ,2250,
BHARAT ELECTRONICS LTD              ,BEL       ,2850,
PAGE INDUSTRIES LTD                 ,PAGEIND   ,15,
GRASIM INDUSTRIES LTD               ,GRASIM    ,250,
HAVELLS INDIA LIMITED               ,HAVELLS   ,500,
BHARAT FORGE LTD                    ,BHARATFORG,500,
PIDILITE INDUSTRIES LTD             ,PIDILITIND,250,
PI INDUSTRIES LTD                   ,PIIND     ,175,
PB FINTECH LIMITED                  ,POLICYBZR ,350,
POONAWALLA FINCORP LTD              ,POONAWALLA,1700,
POWER GRID CORP. LTD.               ,POWERGRID ,1900,
BHARTI AIRTEL LIMITED               ,BHARTIARTL,475,
SHREE CEMENT LIMITED                ,SHREECEM  ,25,
SHRIRAM FINANCE LIMITED             ,SHRIRAMFIN,825,
SIEMENS LTD                         ,SIEMENS   ,125,
AUROBINDO PHARMA LTD                ,AUROPHARMA,550,
TATA CHEMICALS LTD                  ,TATACHEM  ,650,
TATA COMMUNICATIONS LTD             ,TATACOMM  ,350,
BAJAJ FINSERV LTD.                  ,BAJAJFINSV,500,
TATA CONSUMER PRODUCT LTD           ,TATACONSUM,550,
BAJAJ FINANCE LIMITED               ,BAJFINANCE,75,
BOSCH LIMITED                       ,BOSCHLTD  ,25,
BALKRISHNA IND. LTD                 ,BALKRISIND,300,
IIFL FINANCE LIMITED                ,IIFL      ,1650,
BHARAT PETROLEUM CORP  LT           ,BPCL      ,1975,
TATA MOTORS LIMITED                 ,TATAMOTORS,800,
TATA STEEL LIMITED                  ,TATASTEEL ,5500,
BANDHAN BANK LIMITED                ,BANDHANBNK,3600,
TATA CONSULTANCY SERV LT            ,TCS       ,175,
INDIAN BANK                         ,INDIANB   ,1000,
UPL LIMITED                         ,UPL       ,1355,
BHARAT DYNAMICS LIMITED             ,BDL       ,325,
WIPRO LTD                           ,WIPRO     ,3000,
CESC LTD                            ,CESC      ,3625,
COMPUTER AGE MNGT SER LTD           ,CAMS      ,150,
INOX WIND LIMITED                   ,INOXWIND  ,3225,
CIPLA LTD                           ,CIPLA     ,375,
COAL INDIA LTD                      ,COALINDIA ,1350,
COFORGE LIMITED                     ,COFORGE   ,375,
LIFE INSURA CORP OF INDIA           ,LICI      ,700,
CENTRAL DEPO SER (I) LTD            ,CDSL      ,475,
CONTAINER CORP OF IND LTD           ,CONCOR    ,1000,
AVENUE SUPERMARTS LIMITED           ,DMART     ,150,
MANAPPURAM FINANCE LTD              ,MANAPPURAM,3000,
CYIENT LIMITED                      ,CYIENT    ,425,
MAZAGON DOCK SHIPBUIL LTD           ,MAZDOCK   ,175,
GAIL (INDIA) LTD                    ,GAIL      ,3150,
DALMIA BHARAT LIMITED               ,DALBHARAT ,325,
CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN  ,625,
GMR AIRPORTS LIMITED                ,GMRAIRPORT,6975,
SAMVRDHNA MTHRSN INTL LTD           ,MOTHERSON ,4100,
DIVI S LABORATORIES LTD             ,DIVISLAB  ,100,
NBCC (INDIA) LIMITED                ,NBCC      ,6500,
EICHER MOTORS LTD                   ,EICHERMOT ,175,
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,1800,
INTERGLOBE AVIATION LTD             ,INDIGO    ,150,
INDUS TOWERS LIMITED                ,INDUSTOWER,1700,
HCL TECHNOLOGIES LTD                ,HCLTECH   ,350,
GLENMARK PHARMACEUTICALS            ,GLENMARK  ,375,
HDFC BANK LTD                       ,HDFCBANK  ,550,
INDIAN RAIL TOUR CORP LTD           ,IRCTC     ,875,
PATANJALI FOODS LIMITED             ,PATANJALI ,300,
HSG & URBAN DEV CORPN LTD           ,HUDCO     ,2775,
IDFC FIRST BANK LIMITED             ,IDFCFIRSTB,9275,
JSW STEEL LIMITED                   ,JSWSTEEL  ,675,
JUBILANT FOODWORKS LTD              ,JUBLFOOD  ,1250,
GODREJ PROPERTIES LTD               ,GODREJPROP,275,
LAURUS LABS LIMITED                 ,LAURUSLABS,1700,
LIC HOUSING FINANCE LTD             ,LICHSGFIN ,1000,
PUNJAB NATIONAL BANK                ,PNB       ,8000,
INDUSIND BANK LIMITED               ,INDUSINDBK,700,
L&T FINANCE LIMITED                 ,LTF       ,4462,
HINDUSTAN AERONAUTICS LTD           ,HAL       ,150,
LUPIN LIMITED                       ,LUPIN     ,425,
INDIAN OIL CORP LTD                 ,IOC       ,4875,
RAIL VIKAS NIGAM LIMITED            ,RVNL      ,1375,
JINDAL STEEL & POWER LTD            ,JINDALSTEL,625,
HERO MOTOCORP LIMITED               ,HEROMOTOCO,150,
HFCL LIMITED                        ,HFCL      ,6450,
HDFC AMC LIMITED                    ,HDFCAMC   ,150,
MPHASIS LIMITED                     ,MPHASIS   ,275,
HINDUSTAN UNILEVER LTD.             ,HINDUNILVR,300,
HINDUSTAN COPPER LTD                ,HINDCOPPER,2650,
SRF LTD                             ,SRF       ,200,
INFO EDGE (I) LTD                   ,NAUKRI    ,375,
HINDUSTAN PETROLEUM CORP            ,HINDPETRO ,2025,
MARICO LIMITED                      ,MARICO    ,1200,
MARUTI SUZUKI INDIA LTD.            ,MARUTI    ,50,
ICICI BANK LTD.                     ,ICICIBANK ,700,
ICICI LOMBARD GIC LIMITED           ,ICICIGI   ,325,
HINDUSTAN ZINC LIMITED              ,HINDZINC  ,1225,
NTPC LTD                            ,NTPC      ,1500,
MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,275,
NCC LIMITED                         ,NCC       ,2700,
UNION BANK OF INDIA                 ,UNIONBANK ,4425,
ONE 97 COMMUNICATIONS LTD           ,PAYTM     ,725,
OBEROI REALTY LIMITED               ,OBEROIRLTY,350,
ZYDUS LIFESCIENCES LTD              ,ZYDUSLIFE ,900,
PERSISTENT SYSTEMS LTD              ,PERSISTENT,100,
PETRONET LNG LIMITED                ,PETRONET  ,1800,
INDIAN ENERGY EXC LTD               ,IEX       ,3750,
KAYNES TECHNOLOGY IND LTD           ,KAYNES    ,100,
MACROTECH DEVELOPERS LTD            ,LODHA     ,450,
RBL BANK LIMITED                    ,RBLBANK   ,3175,
RELIANCE INDUSTRIES LTD             ,RELIANCE  ,500,
MANKIND PHARMA LIMITED              ,MANKIND   ,225,
SBI CARDS & PAY SER LTD             ,SBICARD   ,800,
REC LIMITED                         ,RECLTD    ,1275,
MAX HEALTHCARE INS LTD              ,MAXHEALTH ,525,
MAX FINANCIAL SERV LTD              ,MFSL      ,800,
IRB INFRA DEV LTD.                  ,IRB       ,11675,
TATA POWER CO LTD                   ,TATAPOWER ,1450,
SBI LIFE INSURANCE CO LTD           ,SBILIFE   ,375,
JIO FIN SERVICES LTD                ,JIOFIN    ,2350,
TITAN COMPANY LIMITED               ,TITAN     ,175,
TORRENT POWER LTD                   ,TORNTPOWER,375,
NMDC LTD.                           ,NMDC      ,13500,
SJVN LTD                            ,SJVN      ,5875,
TRENT LTD                           ,TRENT     ,100,
TVS MOTOR COMPANY  LTD              ,TVSMOTOR  ,350,
SUN PHARMACEUTICAL IND L            ,SUNPHARMA ,350,
ORACLE FIN SERV SOFT LTD.           ,OFSS      ,75,
SYNGENE INTERNATIONAL LTD           ,SYNGENE   ,1000,
THE PHOENIX MILLS LTD               ,PHOENIXLTD,350,
VOLTAS LTD                          ,VOLTAS    ,375,
KALYAN JEWELLERS IND LTD            ,KALYANKJIL,1175,
PNB HOUSING FIN LTD.                ,PNBHOUSING,650,
ADANI ENTERPRISES LIMITED           ,ADANIENT  ,300,
PRESTIGE ESTATE LTD                 ,PRESTIGE  ,450,
SOLAR INDUSTRIES (I) LTD            ,SOLARINDS ,75,
SUPREME INDUSTRIES LTD              ,SUPREMEIND,175,
TATA ELXSI LIMITED                  ,TATAELXSI ,100,
TORRENT PHARMACEUTICALS L           ,TORNTPHARM,250,
TECH MAHINDRA LIMITED               ,TECHM     ,600,
TITAGARH RAIL SYSTEMS LTD           ,TITAGARH  ,725,
CROMPT GREA CON ELEC LTD            ,CROMPTON  ,1800,
VARUN BEVERAGES LIMITED             ,VBL       ,1025,
UNITED SPIRITS LIMITED              ,UNITDSPR  ,400,
VEDANTA LIMITED                     ,VEDL      ,1150,
YES BANK LIMITED                    ,YESBANK   ,31100,
INDIAN RAILWAY FIN CORP L           ,IRFC      ,4250,
MAHINDRA & MAHINDRA LTD             ,M&M       ,200,
M&M FIN. SERVICES LTD               ,M&MFIN    ,2056,
MULTI COMMODITY EXCHANGE            ,MCX       ,125,
MAHANAGAR GAS LTD.                  ,MGL       ,400,
NESTLE INDIA LIMITED                ,NESTLEIND ,250,
OIL INDIA LTD                       ,OIL       ,1400,
ULTRATECH CEMENT LIMITED            ,ULTRACEMCO,50,
INDIAN RENEWABLE ENERGY             ,IREDA     ,3450,
ITC LTD                             ,ITC       ,1600,
JINDAL STAINLESS LIMITED            ,JSL       ,850,
KEI INDUSTRIES LTD.                 ,KEI       ,175,
POLYCAB INDIA LIMITED               ,POLYCAB   ,125,
PIRAMAL ENTERPRISES LTD             ,PEL       ,750,
PIRAMAL PHARMA LIMITED              ,PPLPHARMA ,2500,
STATE BANK OF INDIA                 ,SBIN      ,750,
TATA TECHNOLOGIES LIMITED           ,TATATECH  ,800,
TUBE INVEST OF INDIA LTD            ,TIINDIA   ,200,
UNO MINDA LIMITED                   ,UNOMINDA  ,550,
STEEL AUTHORITY OF INDIA            ,SAIL      ,4700,
SONA BLW PRECISION FRGS L           ,SONACOMS  ,1050,
POWER FIN CORP LTD.                 ,PFC       ,1300,
CG POWER AND IND SOL LTD            ,CGPOWER   ,850,
ETERNAL LIMITED                     ,ETERNAL   ,2425,
NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,3750,
VODAFONE IDEA LIMITED               ,IDEA      ,71475,
